SI.NO,PSC:,PRODUCT/PARTS,COMPLAINT,CHECK-1,ACTION,CHECK-2,ACTION,CHECK-3,ACTION,CHECK-4,ACTION,CHECK-5,ACTION,CHECK-6,ACTION,CHECK-7,ACTION,CHECK-8,ACTION,CHECK-9,ACTION,CHECK-10,ACTION,CHECK-11,ACTION,CHECK-12,ACTION
,,,COMPUTER OUTPUT NOT PRESENT,CHECK THE DATAOUTPUT FORMAT OF THE ANALYZER SETTINGS,SET THE REQUIRED SETTINGS VALUES,CHECK THE MACHINE COMPUTER OUT TO COMPUTER CABLE CONNECTIVITY,REPLACE THE COMPUTER OUT TO COMPUTER CABLE,CHECK THE ANALYZER MAIN BOARD TO BACKPANEL INTERFACING CABLE,REPLACE THE ANALYZER MAIN BOARD TO BACKPANEL INTERFACING CABLE,CHECK THE BACKPANEL PCB FUNCTANALITY,REPLACE THE BACKPANEL PCB,CHECK THE ANALYZER MAIN BOARD FUNCTANALITY,REPLACE THE ANALYZER MAIN BOARD,,,,,,,,,,,,,,
,,,EXTERNAL DISPLAY DATA NOT PRESENT,CHECK THE MACHINE EXTERNAL DISPLAY OUT TO DISPLAY CABLE CONNECTIVITY,REPLACE THE MACHINE EXTERNAL DISPLAY OUT TO DISPLAY CABLE,CHECK THE DPST BOARD TO BACKPANEL EXTERNAL DISPLAY CABLE,REPLACE THE DPST BOARD TO BACKPANEL EXTERNAL DISPLAY CABLE,CHECK THE BACKPANEL PCB FUNCTANALITY,REPLACE THE BACKPANEL PCB,CHECK THE DPST BOARD FUNCTANALITY,REPLACE THE DPST BOARD,,,,,,,,,,,,,,,,
,,,RATE NOT TAKEN FROM THE CHART / NOT VIEW,CHECK THE SD CARD IS OK ,REPLACE THE SD CARD,CHECK THE RATE CHART FILE IS SAVED IN THE SD CARD,CHECK THE SAVED FILE TYPE AND DATAS FORMAT IN CSV,SAVE TO THE CORRECT FORMAT AND TYPE ( CSV ) OF  FILE,CHECK THE DPST BOARD FUNCTANALITY,REPLACE THE DPST BOARD,,,,,,,,,,,,,,,,,
,,,FARMER DETAILS NOT SHOWN,CHECK THE SD CARD IS OK ,REPLACE THE SD CARD,CHECK THE RATE CHART FILE IS SAVED IN THE SD CARD,CHECK THE SAVED FILE TYPE AND DATAS FORMAT IN CSV,SAVE TO THE CORRECT FORMAT AND TYPE ( CSV ) OF  FILE,CHECK THE DPST BOARD FUNCTANALITY,REPLACE THE DPST BOARD,,,,,,,,,,,,,,,,,
,,,ANALYZER CONNECTIVITY ERROR SHOWN,CHECK THE ANALYZER TO DPST BOARD INTERFACING CABLE AND CONNECTOR QUALITY,REPLACE THE ANALYZER TO DPST BOARD INTERFACING CABLE,CHECK THE ANALYZER MAIN BOARD FUNCTANALITY,REPLACE THE ANALYZER MAIN BOARD,CHECK THE ANALYZER DPST BOARD FUNCTANALITY,REPLACE THE DPST BOARD,,,,,,,,,,,,,,,,,,
,,,WIFI/GSM MODULE ERROR SHOWN,CHECK THE WIFI/GSM SETTINGS DETAILS,ENTER THE REQUIRED SETTINGS,CHECK THE DPST TO BACKPANEL FRC CABLE AND CONNECTION DIRECTION,REPLACE THE FRC CABLE OR RE CONNECT THE FRC CABLE AT CORRECT DIRECTION,CHECK THE WIFI/GSM MODULE BREATHING LED IS WORKING,REPLACE THE WIFI/GSM MODULE,CHECK THE ANTENNA SMA CABLE CONNECTION QUALITY AND ANTENNA CONNECTOR QUALITY,REPLACE THE ANTENNA AND SMA CABLE,,,,,,,,,,,,,,,,
,,,SMS NOT SEND TO THE FARMER,CHECK THE GSM/SIM MODULE CONNECTIVITY (INSERTED SIM DIRECTION ) AND CHECK THE SIM VALIDITY,CORRECT THE MODULE/SIM CONNECTIVITY AND EXTEND THE SIM VALIDITY,CHECK THE FARMER DETAILS ENTERED ARE CORRECT,PROPERLY ENTER THE FARMER DETAILS,CHECK THE ENTERED SMS ENABLE SETTINGS ARE CORRECT,ENTER THE CORRECT SETTINGS,,,,,,,,,,,,,,,,,,
,,,TESTED RESULT TO CLOUD UPDATION ERROR SHOWN,CHECK THE WIFI/GSM CONNECTIVITY,ENTER THE PROPER SETTINGS AND SET THE WIFI/GSM MODULE CONNECTIVITY,CHECK THE ENTERED THE CLOUD DETAILS ARE CORRECT,PROPER CLOUD ADDRESS AND DETAILS ARE ENTER,CHECK THE SAME MACHINE ID AND MODEL DETAILS ARE ENTERED IN THE CLOUD APPLICATION-(MACHINE REGISTRATION),ENTER THAT MACHINE ID AND MODEL IN THE WEB APPLICATION,,,,,,,,,,,,,,,,,,
,,,CHART FILE NOT SHOWN / FARMER DETAILS NOT SAVED / COLLECTION NOT SAVED,CHECK THE SD CARD FILE FORMAT TYPE- ( USE FAT SYSTEM ),FORMAT THE SD CARD AT FAT FILE SYSTEM USE THE COMPUTER,CHECK THE SD CARD IS DETECTED THE MACHINE ( READ /WRITABLE ),FORMAT THE SD CARD USE THAT MACHINE,,,,,,,,,,,,,,,,,,,,
,,,SAMPLE TESTING TIME THE COUNT CONTINUOUSLY COUNTED ( ABOVE 50 SECOND ),CHECK THE DPST BOARD TO ANALYZER MAIN BOARD INTERFACE CABLE AND CONNECTOR CONNECTIVITY,REPLACE THE DPST BOARD TO ANALYZER MAIN BOARD,CHECK THE DPST BOARD FUNCTIONALITY,REPLACE THE DPST BOARD,CHECK THE ANALYZER MAIN BOARD FUNCTIONALITY,REPLACE THE ANALYZER MAIN BOARD ,,,,,,,,,,,,,,,,,,
,,,DPST BOARD TO ANALYZER MAIN BOARD COMMUNICATION NOT PROPERLY WORKING,"CHECK THE ANALYZER MAINBOARD MACHINE MODEL SELECTION IS ""ECOD""",,,,,,,,,,,,,,,,,,,,,,,
,,,PENDRIVE DETECTION FAILURE,CHECK THE PENDRIVE FUNCTIONALITY AND PENDRIVE FILE FORMAT IS FAT FILE SYSTEM,CHANGE THE PENDRIVE FILE FORMAT SET THE FAT FILE SYSTEM,CHECK THE BACKPANEL BOARD FUCTIONALITY,REPLACE THE BACKPANEL BOARD,,,,,,,,,,,,,,,,,,,,
,,,EXTERNAL KEYBOARD NOT DETECTED,CHECK THE DPST BOARD TO BACKPANEL BOARD FRC CABLE QUALITY AND CONNECTOR DIRECTION,REPLACE THE DPST TO BACKPANEL FRC CABLE AND RE CONNECT THE CABLE AT PROPER DIRECTION,CHECK THE BACKPANEL BOARD FUCTIONALITY,REPLACE THE BACKPANEL BOARD,CHECK THE DPST BOARD FUNCTIONALITY,REPLACE THE DPST BOARD,,,,,,,,,,,,,,,,,,
,,,EXTERNAL DISPLAY NOT WORKING,CHECK THE DPST BOARD TO BACKPANEL BOARD FRC CABLE QUALITY AND CONNECTOR DIRECTION,REPLACE THE DPST TO BACKPANEL FRC CABLE AND RE CONNECT THE CABLE AT PROPER DIRECTION,CHECK THE BACKPANEL BOARD FUCTIONALITY,REPLACE THE BACKPANEL BOARD,CHECK THE DPST BOARD FUNCTIONALITY,REPLACE THE DPST BOARD,CHECK THE EXTERNAL DISPLAY INTERFACING CABLE,REPLACE THE EXTERNAL DISPLAY INTERFACING CABLE,,,,,,,,,,,,,,,,
,,,PRINTER NOT WORKING,CHECK THE PRINTER POWER SUPPLY - 8 TO 9V,CHANGE THE POWER CABLE OR PRINTER SUPPLY BOARD,CHECK THE PRINTER FUNCTIONALLY WORKING - SELF TEST PRINTOUT,CHANGE THE PRINTER,CHECK THE PRINTER SETTINGS,CHANGE THE SETTINGS,CHECK THE COMMUNICATION CABLE,CHANGE THE CABLE,,,,,,,,,,,,,,,,
,,PUMP ,PUMP NOT WORKING,CHECK THE ANALYZER MAINBOARD BREATHING LIGHT IS WORKING,REPLACE THE ANALYZER BOARD,CHECK THE MOTOR CABLE AND CONNECTOR CONNECTIVITY,REPLACE THE MOTOR,CHECK THE MOTOR MOTION SENSING BOARD CABLE AND CONNECTOR CONNECTIVITY,REPLACE THE CABLE,CHECK THE MOTOR MOTION SENSOR BOARD FUNCTANALITY,REPLACE THE MOTOR MOTION SENSOR BOARD,CHECK THE MOTOR DRIVER MODULE QUALITY,REPLACE THE MOTOR DRIVER MODULE,CHECK THE ANALYZER MAINBOARD FUNCTIONALITY,REPLACE THE ANALYZER MAINBOARD,,,,,,,,,,,,
,,,PUMP NUT AND BOLT MOVE TO ONESIDE ONLY AND HIT INTO THE CLAMP,CHECK THE MOTOR MOTION SENSING BOARD CABLE AND CONNECTOR CONNECTIVITY,REPLACE THE MOTOR MOTION SENSING BOARD CABLE,CHECK THE MOTOR MOTION SENSING BOARD FUNCTIONALITY,REPLACE THE MOTOR MOTION SENSING BOARD,CHECK THE ANALYZER MAINBOARD FUNCTIONALITY,REPLACE THE ANALYZER MAINBOARD,,,,,,,,,,,,,,,,,,
,,,PUMP SENSE ERROR,CHECK THE MOTOR MOTION SENSING BOARD CABLE AND CONNECTOR CONNECTIVITY,REPLACE THE MOTOR MOTION SENSING BOARD CABLE,CHECK THE MOTOR MOTION SENSING BOARD FUNCTIONALITY,REPLACE THE MOTOR MOTION SENSING BOARD,CHECK THE ANALYZER MAINBOARD FUNCTIONALITY,REPLACE THE ANALYZER MAINBOARD,,,,,,,,,,,,,,,,,,
,,ECOD/ECOSV/LSES V3 BATTERY PROBLEMS ,LOW BATTERY ERROR SHOWN,CHECK THE BATTERY VOLT ABOVE 11.5V,REPLACE THE BATTERY,CHECK THE SOLARCHARGER BOARD TO ANALYZER INTERFACE CABLE CONNECTIVITY,REPLACE THE SOLARCHARGER BOARD TO ANALYZER INTERFACE CABLE,CHECK THE ANALYZER MAINBOARD FUNCTIONALITY,REPLACE THE ANALYZER MAINBOARD,CHECK THE SOLAR CHARGER BOARD FUNCTANALITY,REPLACE THE SOLAR CHARGER BOARD,,,,,,,,,,,,,,,,
,,,BATTERY FULL LED INDICATION NOT WORKING,CHECK THE ANALYZER MAINBOARD IS COMPLETED THE WARMING PROCESS,APPLY TO CANCELLED THE WARMING PROCESS,CHECK THE VOLTAGE OF THE BATTERY ABOVE 14.3V,CHARGE THE BATTERY AT FULL,CHECK THE CHARGER BOARD TO ANALYZER MAINBOARD INTERFACING CABLE AND CONNECTOR QUALITY,REPLACE THE CHARGER BOARD TO ANALYZER MAINBOARD INTERFACING CABLE,CHECK THE VOLTAGE OF THE SOLAR CHARGER BOARD TO BATTERY CABLE LINE WITHOUT CONNECT THE BATTERY (14.45V),ADJUST TRIMPOT OF THE SOLAR CHARGER BOARD AND SET AT THE CHARGING VOLTAGE (SET AT 14.45V).,CHECK THE BATTERY FULL INDICATION LED IS WORKING,REPLACE THE BATTERY FULL INDICATION LED,CHECK THE ANALYZER MAIN BOARD TO LED CABLE AND CONNECTOR CONNECTIVITY,REPLACE THE CABLE,CHECK THE ANALYZER MAINBOARD FUNCTIONALITY,REPLACE THE ANALYZER MAINBOARD,,,,,,,,,,
,,"ANALYZER MAINBOARD RELATED FAILURE - LSE V3,ECOV,ECOSV",T2/TEMP.SET ERROR,CHECK THE LEAKAGE/BLOCK OF THE SAMPLE SUCKING SECTIONS,,CHECK THE INLET PIPE IS BROKEN OR BLOCKED,REPLACE THE INLET PIPE,CHECK THE INLET TUBE TO PREHEATER SILICON TUBE BROKEN OR LOOSE,REPLACE THE SILICON TUBE OR TIE THE SILICON TUBE,CHECK THE PRE HEATER TO SENSOR SILICON TUBE IS BROKEN OR LOOSE,REPLACE THE SILICON TUBE OR TIE THE SILICON TUBE,CHECK THE SENSOR TO SYRINGE SILICON TUBE BROKEN OR LOOSE,REPLACE THE SILICON TUBE OR TIE THE SILICON TUBE,CHECK THE SYRINGE IS DAMAGE,REPLACE THE SYRINGE,CHECK THE BELLOW TO L-PLUG SILICON TUBE IS BROKEN OR LOOSE AND ALSO CHECK ANY BUR OR OTHER PARTICLE HOLDED IN THE INNER SIDE OF THE SILICON TUBE AND BELLOW INLET SIDE,REPLACE THE SILICON TUBE OR BUR,CHECK THE L-PLUG BROKEN AND ALSO CHECK THE L-PLUG O-RING QUALITY,REPLACE THE L-PLUG OR O-RING,CHECK THE BELLOW QUALITY,REPLACE THE BELLOW,CHECK THE SENSOR INNER BOX SIDE ANY LEAKAGE/BLOCK RELATED ISSUES,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,,
,,,BOX TEMP ERROR,CHECK THE JUMPER QUALITY OF THE MAINBOARD TO SENSOR BOARD SUPPLY LINE,REPLACE THE JUMPER,CHECK THE SENSOR BOARD FUNCTIONALITY,REPLACE THE SENSOR BOARD,CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,,,,,,,,,,,,,,,,,,
,,,SAMPLE NOT FOUND/AIR IN MILK,CHECK THE SAMPLE SUCKING SECTION ANY LEAKAGE/BLOCK,REPLACE THE DAMAGE ITEM,CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,,,,,,,,,,,,,,,,,,,,
,,,PLUNGE IN WATER/WATER IN SENSOR,CHECK THE SAMPLE LIQUID PRESENTS IN THE SENSOR TUBE,REMOVE THE SAMPLE LIQUID,CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,,,,,,,,,,,,,,,,,,,,
,,,HOT SAMPLE ERROR,CHECK THE TEST SAMPLE TEMPERATURE BELOW 40 DEGREE,REPLACE THE SAMPLE,CHECK THE SENSOR BOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,,,,,,,,,,,,,,,,,,
,,,COUNT ZERO / RESULT ZERO,CHECK THE SENSOR BLOCK / LEAKAGE AND TEST COUNT VALUE,CLEAN THE SENSOR ,CHECK THE SENSOR GAIN SET AT PROPER VALUE,SET THE NORMAL GAIN SETTINGS,CHECK THE SENSOR BOARD FUNCTIONALITY,REPLACE THE SENSOR BOARD,CHECK MAIN BOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR PAIR,,,,,,,,,,,,,,,,
,,,READING VARIATION,CHECK THE SENSOR AND SILICONE TUBES ARE CLEANED,CLEAN THE SENSOR AND SILICONE TUBES,CHECK THE SENSOR GAIN SET AT PROPER VALUE,SET THE NORMAL GAIN SETTINGS,CHECK THE PROPER OFFSET APPLY AND TEST READING,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,CHECK MAIN BOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR PAIR,,,,,,,,,,,,,,,,
,,,FAT SHOWN IN WATER,CHECK THE ANALYZER OTHER MILK SAMPLES TEST READINGS ARE 'OK',IF NOT OK CHECK THE CALIBRATION DETAILS,CHECK THE SENSOR AND TUBE WELL CLEANED,TO CLEAN THE SENSOR AND TUBE,APPLY WATER ZERO OPERATION AND TEST AGAIN,ENSURE THE PAIRED MAIN BOARD IS FUNCTIONALLY OK OTHERWISE BOARD REPLACE,,,,,,,,,,,,,,,,,,
,,,LCD CONTINIOUSLY SHOWING COMPUTER MODE,CHECK THE FRONTPANEL KEYPAD KEYS QUALITY,REPLACE THE KEYPAD,CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,,,,,,,,,,,,,,,,,,,,
,,,LCD CONTINIOUSLY SHOWING VERSION,CHECK THE FRONTPANEL KEYPAD KEYS QUALITY,REPLACE THE KEYPAD,CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,,,,,,,,,,,,,,,,,,,,
,,,WARMING STARTING TIME MACHINE WILL OFF/FUSE BURN,CHECK THE MAINBOARD FUNCTIONALITY - MOSFET FAILURE,REPLACE THE MAIN BOARD AND SENSOR BOARD PAIR,CHECK THE SENSOR BOARD COIL IS BURN,REPLACE THE MAIN BOARD AND SENSOR BOARD PAIR,CHECK THE ON/OFF SWITCH FUNCTIONALITY AND FUSE CARRER&FUSE IS TIGHT,REPLACE THE SWITCH OR RE-SET THE FUSE AND FUSE CARRIER,CHECK THE POWER CABLE OR CONNECTOR IS LOOSE,REPLACE THE FAULTY ITEM,,,,,,,,,,,,,,,,
